"a","b","c","discriminant","overall_score","max_abs_acf","n_sig_lags"
20,9,-112,9041,0.9625,0.00217455095987177,0
20,9,-145,11681,0.925,0.00255813468062235,0
21,5,-143,12037,0.9625,0.0020069215902239,0
21,5,-148,12457,0.9625,0.00224859990668033,0
21,11,-127,10789,0.9625,0.0024844686442383,0
21,11,-129,10957,0.925,0.00250374018335963,0
21,11,-145,12301,0.925,0.0022933105043704,0
21,11,-149,12637,0.925,0.00223747359819101,0
21,11,-150,12721,0.925,0.00240134940115327,0
22,5,-94,8297,0.925,0.00244382449820224,0
22,5,-126,11113,0.9625,0.00252633345135685,0
22,5,-144,12697,0.9625,0.00232823195696502,0
22,5,-148,13049,0.9625,0.0018318292010528,0
22,7,-115,10169,0.9625,0.00244573562926434,0
22,7,-118,10433,0.925,0.00215966797702146,0
22,7,-139,12281,0.9625,0.00195079382924254,0
22,7,-150,13249,0.9625,0.00198033348525843,0
23,5,-81,7477,0.925,0.00247733923959975,0
23,5,-99,9133,0.9625,0.00209893049122097,0
23,5,-119,10973,0.9625,0.00204142447825007,0
23,5,-126,11617,0.9625,0.00240555239360675,0
23,5,-128,11801,0.9625,0.00193456681365062,0
23,5,-146,13457,0.925,0.00249252989454128,0
23,7,-125,11549,0.9625,0.00207259175272625,0
23,7,-131,12101,0.925,0.00186640614252665,0
23,7,-137,12653,0.9625,0.00246300507347672,0
23,7,-149,13757,0.9625,0.00216130847913629,0
24,5,-118,11353,0.9625,0.00226160912296667,0
24,5,-131,12601,0.9625,0.00208033914822932,0
24,7,-127,12241,0.925,0.00251117865834196,0
24,7,-135,13009,0.9625,0.00255196050855037,0
25,7,-111,11149,0.925,0.00243230350947552,0
25,7,-136,13649,0.9625,0.00234554369970172,0
25,7,-141,14149,0.925,0.00234630454922688,0
25,7,-142,14249,0.9625,0.00238902303760949,0
25,7,-145,14549,0.9625,0.0020186725768348,0
25,9,-119,11981,0.9625,0.00199416330408191,0
25,9,-133,13381,0.9625,0.00212523813868252,0
25,9,-137,13781,0.9625,0.00244239990921908,0
25,9,-142,14281,0.9625,0.00223037999801101,0
26,5,-143,14897,0.925,0.00249572629603836,0
26,7,-123,12841,0.9625,0.00200911340297785,0
27,5,-126,13633,0.9625,0.00257283306090074,0
27,5,-131,14173,0.9625,0.00241295885506635,0
27,5,-133,14389,0.9625,0.00244442792599729,0
27,5,-138,14929,0.9625,0.00195341810719501,0
28,5,-106,11897,0.9625,0.0017442276065772,0
28,5,-124,13913,0.9625,0.00233939657135779,0
28,9,-16,1873,0.925,0.0022986891700721,0
28,9,-101,11393,0.9625,0.00188859378641901,0
28,9,-131,14753,0.9625,0.00209587324718382,0
29,5,-107,12437,0.9625,0.00214451104651975,0
29,5,-117,13597,0.9625,0.00234774054962156,0
29,5,-119,13829,0.9625,0.00215949701755694,0
29,7,-53,6197,0.9625,0.00195798049228061,0
29,7,-69,8053,0.9625,0.0024540760781979,0
30,7,-61,7369,0.925,0.0024151984162266,0
30,7,-62,7489,0.925,0.00227158293609259,0
30,7,-83,10009,0.9625,0.00190015096202324,0
30,7,-89,10729,0.925,0.00236648906866924,0
30,7,-97,11689,0.9625,0.00242065693897231,0
30,11,-115,13921,0.925,0.00238221765273208,0
31,5,-117,14533,0.925,0.00226980891464102,0
31,7,-55,6869,0.925,0.00244516232492427,0
31,7,-66,8233,0.9625,0.00191827199108218,0
31,7,-75,9349,0.8875,0.00221306844407872,0
31,7,-103,12821,0.9625,0.00210018027484055,0
31,7,-117,14557,0.9625,0.00233987600921717,0
32,5,-11,1433,0.9625,0.00200968530184667,0
32,7,-20,2609,0.9625,0.00212711539370631,0
32,7,-41,5297,0.925,0.00217218710800491,0
33,5,-43,5701,0.925,0.00234101962320004,0
33,5,-79,10453,0.9625,0.00190292491459286,0
33,5,-97,12829,0.9625,0.00245129131379336,0
33,7,-79,10477,0.9625,0.00230477431045179,0
33,7,-97,12853,0.9625,0.001794989024024,0
33,7,-102,13513,0.9625,0.00218281728412264,0
34,5,-34,4649,0.925,0.00221674403759183,0
34,5,-97,13217,0.9625,0.00221700473701186,0
34,7,-25,3449,0.9625,0.00168791399422613,0
35,9,-65,9181,0.9625,0.00222353659708879,0
35,9,-67,9461,0.925,0.00221794820486309,0
35,9,-83,11701,0.9625,0.0023994587559163,0
35,11,-86,12161,0.925,0.00219747041871113,0
35,11,-92,13001,0.9625,0.00200591098230497,0
35,11,-98,13841,0.925,0.00209787657546864,0
36,5,-18,2617,0.925,0.00256018643511577,0
36,5,-58,8377,0.925,0.00233713331999645,0
36,5,-78,11257,0.9625,0.00182180591931122,0
36,7,-10,1489,0.9625,0.00219955940595796,0
36,7,-101,14593,0.9625,0.0022983815809954,0
36,11,-13,1993,0.9625,0.00256925218283073,0
36,11,-29,4297,0.925,0.00233324516681502,0
36,11,-79,11497,0.925,0.0024002289033013,0
36,11,-83,12073,0.925,0.0023411003570441,0
37,5,-67,9941,0.9625,0.00181046038965014,0
37,5,-79,11717,0.9625,0.00226749891564214,0
37,7,-15,2269,0.9625,0.00204591609084128,0
37,7,-31,4637,0.9625,0.00215139041266751,0
37,7,-33,4933,0.9625,0.0018088508993697,0
38,5,-11,1697,0.9625,0.00192914840898645,0
38,5,-92,14009,0.925,0.00247025033092451,0
38,7,-20,3089,0.9625,0.0024370392490356,0
38,7,-29,4457,0.9625,0.0021202290412472,0
38,7,-44,6737,0.925,0.00220856315506069,0
38,7,-57,8713,0.8875,0.00232473305732941,0
39,5,-17,2677,0.9625,0.00226782126826374,0
39,5,-23,3613,0.9625,0.00256215281723444,0
39,5,-31,4861,0.9625,0.00196603391921545,0
39,5,-53,8293,0.9625,0.00219541522302286,0
39,7,-73,11437,0.925,0.00250390386972795,0
40,7,-25,4049,0.9625,0.0024404749575428,0
40,7,-55,8849,0.925,0.00247430411371654,0
40,9,-8,1361,0.9625,0.00204817987361119,0
40,9,-89,14321,0.9625,0.00253260468835693,0
40,11,-43,7001,0.925,0.00239707397760908,0
40,13,-37,6089,0.9625,0.00235765407707739,0
40,13,-40,6569,0.9625,0.00173486519068182,0
40,13,-49,8009,0.925,0.00255569997985386,0
41,5,-23,3797,0.925,0.00227842651962795,0
41,5,-56,9209,0.9625,0.00246454571855966,0
41,7,-17,2837,0.925,0.0023814105499709,0
41,7,-65,10709,0.9625,0.00225590827460166,0
41,7,-86,14153,0.925,0.00232107527478322,0
42,11,-7,1297,0.925,0.0024996140423103,0
42,11,-37,6337,0.9625,0.00216642861436661,0
42,11,-49,8353,0.925,0.0023763911610736,0
42,13,-15,2689,0.9625,0.00214558135805003,0
42,13,-71,12097,0.9625,0.00240336705403396,0
43,5,-12,2089,0.925,0.00200241067930914,0
43,5,-16,2777,0.925,0.00238351964198572,0
43,7,-25,4349,0.9625,0.00204847287645535,0
43,7,-85,14669,0.9625,0.00168321337165341,0
43,9,-46,7993,0.8875,0.00213679968462128,0
43,9,-50,8681,0.9625,0.00221089636763827,0
43,9,-65,11261,0.9625,0.00218208047177553,0
43,9,-79,13669,0.925,0.00222249947704807,0
44,5,-23,4073,0.9625,0.00217963756098973,0
44,5,-83,14633,0.925,0.00251536164827148,0
44,9,-25,4481,0.925,0.00238029374402879,0
44,17,-38,6977,0.925,0.00222639832301117,0
45,7,-11,2029,0.9625,0.00232834573823655,0
45,11,-23,4261,0.925,0.00227984382424755,0
45,11,-37,6781,0.9625,0.00233749795544987,0
46,7,-13,2441,0.925,0.00215435352820666,0
46,9,-8,1553,0.9625,0.00197425632283462,0
46,9,-65,12041,0.9625,0.00234751901605843,0
46,9,-74,13697,0.925,0.00216152509995339,0
46,11,-19,3617,0.9625,0.0025134731289453,0
46,11,-52,9689,0.9625,0.00211789143709738,0
47,5,-29,5477,0.925,0.00240796681362677,0
47,7,-23,4373,0.925,0.00230997092771931,0
47,7,-71,13397,0.9625,0.00224171047497809,0
47,9,-49,9293,0.9625,0.00182977487512347,0
47,9,-52,9857,0.925,0.002473724877219,0
48,11,-26,5113,0.925,0.00246200838943663,0
48,13,-4,937,0.9625,0.00208495405018482,0
48,17,-12,2593,0.925,0.00251398702520477,0
48,31,-36,7873,0.9625,0.00247592654173226,0
49,9,-37,7333,0.925,0.00221367116105061,0
49,9,-71,13997,0.9625,0.00235879574879676,0
49,11,-7,1493,0.9625,0.00220894677762686,0
50,9,-7,1481,0.8875,0.00244850089687804,0
50,13,-74,14969,0.9625,0.00177611356399963,0
50,17,-5,1289,0.925,0.00225611137760353,0
50,19,-32,6761,0.9625,0.0023083028294468,0
50,49,-41,10601,0.9625,0.0024008722103415,0
51,5,-9,1861,0.925,0.00204317937580131,0
51,5,-51,10429,0.925,0.0022831951545378,0
51,5,-67,13693,0.925,0.00239853528881152,0
51,7,-11,2293,0.9625,0.00217901892964796,0
51,7,-17,3517,0.9625,0.00222413465780247,0
51,7,-27,5557,0.9625,0.00206751568892423,0
51,7,-31,6373,0.925,0.00218552638624455,0
51,11,-15,3181,0.9625,0.00224268753450758,0
51,11,-59,12157,0.9625,0.00195184741235624,0
52,9,-29,6113,0.9625,0.00209724339558172,0
52,27,-41,9257,0.9625,0.00214103014460742,0
52,29,-52,11657,0.9625,0.00246189804970332,0
52,35,-64,14537,0.925,0.00238015167105636,0
53,5,-11,2357,0.9625,0.00213177415641814,0
53,5,-27,5749,0.9625,0.00188467487171266,0
53,5,-29,6173,0.9625,0.0021679662153956,0
53,7,-11,2381,0.925,0.00246872543746363,0
53,11,-5,1181,0.9625,0.00210645492354464,0
53,11,-29,6269,0.9625,0.00233086575023803,0
53,11,-35,7541,0.925,0.0024281258393922,0
53,11,-65,13901,0.9625,0.00183758064559109,0
55,7,-19,4229,0.8875,0.00236406018541227,0
55,7,-61,13469,0.925,0.00235519789942683,0
55,9,-25,5581,0.9625,0.00185385377159313,0
55,13,-25,5669,0.925,0.0025348162839013,0
57,7,-11,2557,0.925,0.00253529594356458,0
57,11,-35,8101,0.925,0.00246616739703075,0
57,11,-39,9013,0.9625,0.00209948980739264,0
57,13,-31,7237,0.9625,0.00205474131758799,0
59,5,-11,2621,0.9625,0.00216120197120011,0
59,9,-7,1733,0.925,0.00245371931978206,0
59,9,-17,4093,0.925,0.00236843123665111,0
59,11,-17,4133,0.925,0.00254974509268407,0
59,11,-47,11213,0.925,0.00221108516834703,0
59,13,-3,877,0.9625,0.00210856628775774,0
59,13,-29,7013,0.9625,0.00255766117480591,0
59,13,-35,8429,0.9625,0.00202052346121863,0
61,9,-13,3253,0.925,0.00242455302565101,0
61,9,-37,9109,0.9625,0.0025520424029185,0
61,11,-25,6221,0.925,0.00222744605917563,0
61,17,-13,3461,0.9625,0.00230327358535974,0
61,17,-31,7853,0.925,0.00237012200869045,0
61,17,-43,10781,0.9625,0.00199377425707771,0
63,5,-11,2797,0.9625,0.00255734343865631,0
63,13,-9,2437,0.9625,0.00188162007722393,0
63,13,-25,6469,0.925,0.00243531689941732,0
63,13,-49,12517,0.9625,0.00203602558450467,0
63,19,-3,1117,0.9625,0.00239289510134232,0
63,19,-33,8677,0.925,0.00249200978509919,0
64,9,-32,8273,0.9625,0.00191763345405442,0
65,11,-15,4021,0.9625,0.00216041806729575,0
65,21,-43,11621,0.8875,0.00237180663081863,0
67,7,-13,3533,0.9625,0.00213189858378297,0
67,11,-37,10037,0.925,0.00251105447047578,0
67,13,-19,5261,0.9625,0.00218405065397458,0
67,17,-31,8597,0.9625,0.00210806197319248,0
67,17,-43,11813,0.9625,0.00221820781959491,0
67,21,-11,3389,0.9625,0.00193040041912747,0
69,7,-33,9157,0.925,0.00219017635472438,0
69,11,-37,10333,0.9625,0.00207451211485612,0
69,13,-3,997,0.9625,0.00219659496084475,0
69,13,-33,9277,0.925,0.00213687757783672,0
69,13,-53,14797,0.9625,0.00203195360368188,0
69,17,-13,3877,0.9625,0.002509498748391,0
71,7,-33,9421,0.9625,0.00210703284521182,0
71,9,-7,2069,0.925,0.00241061195447605,0
71,13,-21,6133,0.925,0.00224185891447528,0
71,15,-7,2213,0.9625,0.00180323177821101,0
71,15,-37,10733,0.9625,0.00197899133437211,0
71,17,-41,11933,0.9625,0.00243137032556389,0
73,7,-25,7349,0.9625,0.00169772335533343,0
73,15,-17,5189,0.9625,0.00197171152341918,0
73,15,-29,8693,0.9625,0.00221582124908986,0
73,17,-7,2333,0.9625,0.0018266979414724,0
75,19,-47,14461,0.9625,0.00191276485716866,0
77,17,-3,1213,0.9625,0.00239963427147101,0
77,17,-11,3677,0.925,0.00218515217171307,0
77,23,-21,6997,0.925,0.00245841766993193,0
77,25,-17,5861,0.9625,0.00233064042915341,0
77,27,-13,4733,0.9625,0.00218868498302606,0
