a,b,c,Discriminant
27,7,-135,14629
27,7,-136,14737
28,5,-97,10889
28,5,-106,11897
28,5,-112,12569
28,5,-118,13241
28,5,-121,13577
28,5,-124,13913
28,9,-16,1873
28,9,-23,2657
28,9,-41,4673
28,9,-98,11057
28,9,-101,11393
28,9,-131,14753
29,5,-96,11161
29,5,-107,12437
29,5,-117,13597
29,5,-119,13829
29,5,-122,14177
29,5,-123,14293
29,7,-53,6197
29,7,-57,6661
29,7,-69,8053
29,7,-83,9677
29,7,-87,10141
29,7,-93,10837
30,7,-61,7369
30,7,-62,7489
30,7,-83,10009
30,7,-89,10729
30,7,-97,11689
30,7,-114,13729
30,11,-10,1321
30,11,-20,2521
30,11,-34,4201
30,11,-62,7561
30,11,-80,9721
30,11,-115,13921
31,5,-49,6101
31,5,-81,10069
31,5,-82,10193
31,5,-111,13789
31,5,-117,14533
31,5,-118,14657
31,7,-55,6869
31,7,-66,8233
31,7,-75,9349
31,7,-81,10093
31,7,-103,12821
31,7,-117,14557
32,5,-11,1433
32,5,-41,5273
32,5,-44,5657
32,5,-101,12953
32,5,-107,13721
32,5,-113,14489
32,7,-20,2609
32,7,-29,3761
32,7,-41,5297
32,7,-80,10289
33,5,-43,5701
33,5,-57,7549
33,5,-73,9661
33,5,-79,10453
33,5,-97,12829
33,5,-99,13093
33,7,-75,9949
33,7,-79,10477
33,7,-95,12589
33,7,-97,12853
33,7,-102,13513
33,7,-109,14437
34,5,-18,2473
34,5,-27,3697
34,5,-31,4241
34,5,-34,4649
34,5,-97,13217
34,5,-103,14033
34,7,-19,2633
34,7,-25,3449
34,7,-30,4129
34,7,-43,5897
34,7,-78,10657
34,7,-103,14057
35,9,-65,9181
35,9,-67,9461
35,9,-73,10301
35,9,-77,10861
35,9,-83,11701
35,9,-101,14221
35,11,-71,10061
35,11,-80,11321
35,11,-86,12161
35,11,-92,13001
35,11,-95,13421
35,11,-98,13841
36,5,-18,2617
36,5,-26,3769
36,5,-58,8377
36,5,-78,11257
36,7,-10,1489
36,7,-26,3793
36,7,-101,14593
36,11,-13,1993
36,11,-29,4297
36,11,-79,11497
36,11,-83,12073
37,5,-43,6389
37,5,-51,7573
37,5,-57,8461
37,5,-58,8609
37,5,-67,9941
37,5,-79,11717
37,7,-15,2269
37,7,-31,4637
37,7,-33,4933
37,7,-39,5821
37,7,-45,6709
37,7,-73,10853
38,5,-11,1697
38,5,-24,3673
38,5,-41,6257
38,5,-83,12641
38,5,-89,13553
38,5,-92,14009
38,7,-20,3089
38,7,-29,4457
