"a","b","c","discriminant","overall_score","max_abs_acf","n_sig_lags"
21,5,-148,12457,0.8,0.009237858056421,1
21,11,-127,10789,0.9,0.00741817684214286,0
21,11,-145,12301,0.95,0.00810397448727951,0
21,11,-148,12553,0.95,0.00640347439107216,0
21,11,-149,12637,0.75,0.00982598123773671,2
22,5,-94,8297,0.8,0.00906471431035471,1
22,5,-126,11113,0.9,0.0087459744472956,0
22,5,-144,12697,0.9,0.0076003260841031,0
22,7,-115,10169,0.8,0.00887387124609988,1
22,7,-139,12281,0.8,0.00917928890010879,1
22,7,-150,13249,0.95,0.0072530232559276,0
23,5,-99,9133,0.9,0.00682349055367551,0
23,5,-119,10973,0.5,0.00955701063577855,2
23,5,-126,11617,0.8,0.00948888305947406,1
23,5,-128,11801,0.95,0.00811040707758853,0
23,5,-146,13457,0.75,0.00954353314985767,2
23,7,-125,11549,0.9,0.00861703345743636,0
23,7,-137,12653,0.9,0.00805743382494531,0
23,7,-144,13297,0.95,0.00791812250403709,0
24,5,-118,11353,0.8,0.00917525363588843,1
24,5,-123,11833,0.9,0.00842428515813692,0
24,5,-129,12409,0.9,0.00636296897585658,0
24,5,-134,12889,0.55,0.0088941180877915,1
24,7,-135,13009,0.95,0.00821939739064627,0
24,7,-144,13873,0.7,0.00910427339618753,1
24,7,-150,14449,0.8,0.00879012318878292,1
25,7,-111,11149,0.8,0.00949582064810222,1
25,7,-141,14149,0.95,0.00755426821652662,0
25,9,-119,11981,0.95,0.0087439174342022,0
25,9,-127,12781,0.7,0.00714955415035109,0
26,5,-119,12401,0.95,0.00691751251125637,0
26,5,-122,12713,0.7,0.00835853383780895,0
26,5,-129,13441,0.95,0.00644485116949059,0
26,5,-143,14897,0.7,0.00814568155370299,0
26,7,-111,11593,0.5,0.00978657467337935,3
26,7,-116,12113,0.95,0.00730551079598989,0
26,7,-123,12841,0.95,0.00716188954739752,0
26,7,-138,14401,0.9,0.0076823819953221,0
26,7,-141,14713,0.9,0.00789029831223332,0
27,5,-124,13417,0.95,0.00735080642780818,0
27,5,-131,14173,0.75,0.00941277124866309,1
27,5,-133,14389,0.95,0.00847891642538507,0
27,5,-137,14821,0.75,0.00922291823066279,1
27,5,-138,14929,0.95,0.00750912998469881,0
27,7,-109,11821,0.95,0.00831305031441607,0
27,7,-113,12253,0.8,0.00913841699249667,1
27,7,-116,12577,0.75,0.00992055712178996,2
27,7,-131,14197,0.75,0.00951875945780362,4
27,7,-135,14629,0.95,0.00692982499417928,0
28,5,-106,11897,0.95,0.00689703193998745,0
28,5,-112,12569,0.95,0.00660460461235692,0
28,5,-118,13241,0.95,0.00861636978285908,0
28,5,-124,13913,0.8,0.0097818603085908,1
28,9,-16,1873,0.8,0.00988106154669114,1
28,9,-23,2657,0.95,0.007994377834645,0
28,9,-41,4673,0.75,0.0089067811306485,2
28,9,-101,11393,0.95,0.00875405181702362,0
28,9,-131,14753,0.95,0.00723847071858217,0
29,5,-96,11161,0.95,0.00800127351043265,0
29,7,-53,6197,0.95,0.00860500987852843,0
29,7,-69,8053,0.9,0.00804928420214757,0
29,7,-83,9677,0.5,0.00934215311998601,2
29,7,-87,10141,0.75,0.00993605402813424,2
29,7,-93,10837,0.95,0.00872427690061514,0
30,7,-62,7489,0.95,0.00792643114408568,0
30,7,-83,10009,0.95,0.00871124156451106,0
30,7,-89,10729,0.9,0.00680848037749387,0
30,7,-97,11689,0.75,0.00878519648838829,1
30,7,-114,13729,0.9,0.00818549808250685,0
30,11,-10,1321,0.95,0.00856924543084987,0
30,11,-80,9721,0.9,0.00795024654770055,0
31,5,-117,14533,0.95,0.0077940709323966,0
31,5,-118,14657,0.9,0.00753185321643916,0
31,7,-66,8233,0.8,0.00928082864130512,1
31,7,-81,10093,0.55,0.00929211266478472,1
31,7,-117,14557,0.75,0.00918288238334683,1
32,5,-41,5273,0.95,0.00718473832102488,0
32,7,-29,3761,0.9,0.00789995821080049,0
33,5,-43,5701,0.55,0.00949594285455375,1
33,5,-57,7549,0.95,0.00740832415162298,0
33,5,-73,9661,0.9,0.00836882198078368,0
33,5,-79,10453,0.9,0.0080190962651234,0
33,7,-75,9949,0.8,0.00986439246159255,1
33,7,-79,10477,0.9,0.00812867549867096,0
33,7,-95,12589,0.75,0.00981290351013359,1
33,7,-97,12853,0.5,0.00999571571728852,3
33,7,-102,13513,0.75,0.00923655804055341,1
34,5,-18,2473,0.8,0.00958829387988021,1
34,5,-31,4241,0.9,0.0078082166968546,0
34,5,-34,4649,0.9,0.00705379150454714,0
34,5,-97,13217,0.95,0.00743154923102457,0
34,5,-103,14033,0.95,0.00875414737210877,0
34,7,-25,3449,0.25,0.00957953433893686,1
34,7,-43,5897,0.5,0.00970909534694784,1
34,7,-103,14057,0.7,0.00878596623841891,1
35,9,-65,9181,0.95,0.0062561183464788,0
35,9,-67,9461,0.95,0.00772446608352476,0
35,9,-77,10861,0.95,0.0085046700450705,0
35,9,-101,14221,0.95,0.0078436637153356,0
35,11,-86,12161,0.95,0.00768001643239883,0
35,11,-92,13001,0.95,0.00749781090090875,0
35,11,-95,13421,0.7,0.00863656366173212,0
36,5,-18,2617,0.95,0.007567995209785,0
36,5,-58,8377,0.7,0.00737280398948354,0
36,5,-78,11257,0.75,0.00955520716232741,1
36,7,-26,3793,0.75,0.00924847193289411,1
36,7,-101,14593,0.75,0.00950998678233627,1
36,11,-83,12073,0.95,0.00754895608769595,0
37,5,-43,6389,0.95,0.00791471063270333,0
37,5,-51,7573,0.9,0.00784801418063031,0
37,5,-58,8609,0.75,0.00889131771097556,1
37,5,-67,9941,0.8,0.00906771849557582,1
37,7,-15,2269,0.75,0.00993376996682549,1
37,7,-31,4637,0.95,0.00865107619345105,0
37,7,-73,10853,0.95,0.0068711497451657,0
38,5,-11,1697,0.9,0.00727954332774283,0
38,5,-24,3673,0.6,0.00987607464409475,1
38,5,-41,6257,0.9,0.00752226471065721,0
38,5,-83,12641,0.55,0.00892100823859037,1
38,5,-89,13553,0.8,0.0096967938401155,1
38,5,-92,14009,0.8,0.00964921239581387,1
38,7,-44,6737,0.95,0.00700064263846211,0
38,7,-50,7649,0.8,0.00904473963703216,1
39,5,-23,3613,0.95,0.00697445228264218,0
39,5,-31,4861,0.95,0.00868062276585582,0
39,5,-83,12973,0.95,0.00716491324880182,0
39,7,-73,11437,0.95,0.00704530741601648,0
39,7,-85,13309,0.8,0.0099971188257035,1
39,7,-89,13933,0.75,0.00915441675886149,1
39,7,-95,14869,0.95,0.00869151800698421,0
40,7,-55,8849,0.5,0.00980042914011991,2
40,7,-79,12689,0.8,0.0094057047668569,2
40,11,-10,1721,0.75,0.00887545108465376,1
40,11,-46,7481,0.95,0.0067179486768631,0
40,13,-37,6089,0.8,0.00930060273157021,1
40,13,-49,8009,0.95,0.00807964136202286,0
40,13,-55,8969,0.5,0.00877548621304309,1
40,13,-76,12329,0.75,0.00918732660031108,1
41,5,-23,3797,0.75,0.00923860244980146,1
41,5,-26,4289,0.75,0.00970784347360246,1
41,5,-56,9209,0.95,0.00799651855763463,0
41,7,-17,2837,0.8,0.008863730016441,1
41,7,-23,3821,0.7,0.00948605804966477,2
41,7,-86,14153,0.95,0.00750431249376087,0
42,11,-7,1297,0.8,0.00942727693681072,1
42,11,-49,8353,0.95,0.00652510223276447,0
42,13,-11,2017,0.7,0.0090527462963928,1
42,13,-15,2689,0.75,0.00897092179886947,1
43,7,-24,4177,0.95,0.00571389190769353,0
43,7,-25,4349,0.95,0.00836427376333933,0
43,7,-45,7789,0.95,0.00672287916133113,0
43,7,-85,14669,0.95,0.00738922642443629,0
43,9,-5,941,0.75,0.00892532869419832,1
43,9,-50,8681,0.95,0.00822169083451907,0
43,9,-79,13669,0.95,0.00773090396642909,0
44,5,-23,4073,0.95,0.00755984570693952,0
44,7,-5,929,0.95,0.00807789643633379,0
44,9,-16,2897,0.95,0.00820421910708623,0
44,9,-41,7297,0.95,0.00867408820102205,0
44,17,-14,2753,0.9,0.00803685465592592,0
44,17,-29,5393,0.95,0.00861294621564116,0
44,17,-38,6977,0.95,0.00805480606485574,0
45,7,-11,2029,0.75,0.00894355732013039,1
45,7,-13,2389,0.7,0.00669654478339987,0
45,7,-17,3109,0.8,0.00947756526836329,2
45,11,-45,8221,0.9,0.00800897522964146,0
45,11,-79,14341,0.8,0.00913074487533055,1
46,5,-79,14561,0.9,0.00566215675427712,0
46,7,-10,1889,0.8,0.00990938529083409,2
46,7,-13,2441,0.7,0.00860610013658009,0
46,9,-8,1553,0.75,0.00987700429522959,3
46,9,-17,3209,0.8,0.00876605884966661,1
46,9,-53,9833,0.95,0.00628012924730381,0
46,9,-65,12041,0.9,0.00683629260950243,0
46,11,-4,857,0.8,0.00994597407210379,1
46,11,-19,3617,0.95,0.00834515660000435,0
47,5,-17,3221,0.8,0.00921044065133259,1
47,5,-47,8861,0.75,0.00909130973386561,1
47,5,-59,11117,0.75,0.00915150339557305,1
47,7,-23,4373,0.7,0.00680640239830448,0
47,7,-29,5501,0.95,0.00842640875071144,0
47,7,-65,12269,0.9,0.00845635020782056,0
47,7,-71,13397,0.95,0.00863731994547911,0
47,9,-49,9293,0.8,0.00906877144056001,1
47,9,-52,9857,0.8,0.00983353778401875,2
47,9,-59,11173,0.95,0.00622361657244607,0
48,17,-12,2593,0.9,0.00761344699004063,0
48,17,-69,13537,0.75,0.00921057636090575,1
49,5,-4,809,0.75,0.00932537456404977,1
49,5,-49,9629,0.75,0.00880520037399034,1
49,9,-37,7333,0.75,0.00892801343274063,1
49,9,-71,13997,0.9,0.00632897684405843,0
49,11,-16,3257,0.95,0.00733250656489911,0
49,11,-25,5021,0.7,0.00727297441504996,0
50,9,-7,1481,0.95,0.00658799435444958,0
50,9,-19,3881,0.95,0.00832490934519505,0
50,13,-74,14969,0.55,0.00964693254884289,1
50,49,-41,10601,0.95,0.00667370846314876,0
51,5,-9,1861,0.95,0.00727953345512607,0
51,5,-51,10429,0.8,0.00895338958421973,1
51,7,-5,1069,0.95,0.00841783270912183,0
51,7,-11,2293,0.8,0.00915060315619953,1
51,7,-27,5557,0.5,0.00976392859887618,3
51,7,-57,11677,0.75,0.00895682389704743,1
51,11,-15,3181,0.9,0.00696374676181849,0
52,9,-29,6113,0.9,0.0077549892698995,0
52,11,-37,7817,0.5,0.00936086940681444,2
52,27,-41,9257,0.75,0.00982563177382859,2
52,29,-52,11657,0.8,0.00885405749344877,1
52,35,-64,14537,0.95,0.0086941211492914,0
53,5,-9,1933,0.95,0.00755672266092867,0
53,5,-29,6173,0.75,0.00890019295125344,1
53,7,-5,1109,0.95,0.00854231965584273,0
53,11,-5,1181,0.95,0.00713312627033995,0
53,11,-29,6269,0.95,0.00788186058830838,0
53,11,-35,7541,0.75,0.00909065011163802,1
53,11,-63,13477,0.8,0.00973533322088642,1
55,7,-61,13469,0.95,0.0081715516370367,0
55,9,-25,5581,0.7,0.00841400181222664,0
55,13,-3,829,0.95,0.00868066476488435,0
55,13,-7,1709,0.95,0.007975366333649,0
55,13,-25,5669,0.9,0.00806652312916623,0
56,17,-32,7457,0.95,0.00782184907083685,0
56,45,-7,3593,0.75,0.0094468668569772,3
57,5,-19,4357,0.75,0.00878835036212267,1
57,7,-11,2557,0.8,0.0088504339650916,1
57,11,-27,6277,0.55,0.00768253963331118,0
57,11,-39,9013,0.95,0.00714573578085769,0
57,13,-3,853,0.7,0.00763178824896917,0
57,13,-31,7237,0.95,0.00645206727872716,0
58,21,-5,1601,0.95,0.00662737860787398,0
58,27,-47,11633,0.8,0.00912511683557047,1
59,5,-11,2621,0.7,0.00598444147281385,0
59,5,-27,6397,0.95,0.0084115021182032,0
59,9,-25,5981,0.5,0.00885174246150381,1
59,11,-47,11213,0.75,0.00888656325614215,1
59,13,-29,7013,0.95,0.00849532525117628,0
61,9,-37,9109,0.95,0.0084393795159298,0
61,11,-25,6221,0.95,0.00793562248989846,0
61,13,-51,12613,0.95,0.00757818866080489,0
61,17,-7,1997,0.8,0.00887851217857577,1
61,17,-13,3461,0.8,0.00961593420734448,1
61,17,-31,7853,0.9,0.00750093052502549,0
61,17,-55,13709,0.5,0.00984066856175757,1
62,17,-41,10457,0.95,0.00830723115774203,0
63,5,-11,2797,0.95,0.00697238397505083,0
63,5,-27,6829,0.95,0.00838901392126269,0
63,11,-5,1381,0.8,0.00983040660159982,1
63,11,-31,7933,0.95,0.00759884714875102,0
63,13,-25,6469,0.75,0.00918374942928161,1
63,13,-49,12517,0.9,0.0078703165085399,0
63,17,-7,2053,0.7,0.00934562514077245,2
63,19,-21,5653,0.95,0.00712523223795198,0
64,21,-47,12473,0.95,0.00719041493342374,0
65,7,-23,6029,0.95,0.00848317634985717,0
65,9,-7,1901,0.95,0.00814380636554209,0
65,9,-29,7621,0.95,0.00648151119892469,0
65,11,-35,9221,0.95,0.00707352556835057,0
65,17,-29,7829,0.75,0.00880337208105454,1
65,19,-29,7901,0.7,0.00834796018041447,0
65,21,-43,11621,0.8,0.0093345622667487,1
67,11,-37,10037,0.75,0.00977872680564926,1
67,13,-19,5261,0.95,0.0058854895967094,0
67,17,-3,1093,0.95,0.00820743549944884,0
67,17,-31,8597,0.75,0.00994019886964715,1
67,19,-31,8669,0.75,0.00917794319412823,1
67,21,-11,3389,0.95,0.0083084088662295,0
67,21,-47,13037,0.95,0.00797474125947305,0
69,7,-25,6949,0.95,0.0069322350111828,0
69,7,-33,9157,0.95,0.0072848472781913,0
69,11,-37,10333,0.75,0.00929926177400046,2
69,13,-3,997,0.75,0.00973650920150939,2
69,13,-53,14797,0.5,0.00906932198032542,1
69,25,-33,9733,0.75,0.00927903040395048,2
69,25,-41,11941,0.8,0.00901983899860643,1
71,7,-27,7717,0.95,0.00693506795999543,0
71,9,-7,2069,0.95,0.00740849366523352,0
71,13,-23,6701,0.9,0.00765459857029759,0
71,15,-7,2213,0.75,0.0089041503270324,1
71,15,-31,9029,0.95,0.0079920801514369,0
71,17,-41,11933,0.95,0.00802261487097308,0
73,11,-31,9173,0.9,0.00773139595077548,0
73,13,-19,5717,0.75,0.00939656441590846,1
73,13,-21,6301,0.95,0.00576730976158753,0
73,15,-41,12197,0.7,0.00770649971131944,0
73,17,-37,11093,0.9,0.00869366017655468,0
75,13,-27,8269,0.8,0.00961055939424239,1
75,19,-47,14461,0.95,0.00651525669405954,0
75,29,-5,2341,0.65,0.00976143265975429,1
75,49,-25,9901,0.95,0.00834835970863355,0
77,17,-3,1213,0.95,0.00858255986341854,0
77,17,-41,12917,0.75,0.00877297080855068,1
77,23,-21,6997,0.95,0.00823264507149927,0
77,25,-17,5861,0.95,0.00743580431932366,0
77,27,-13,4733,0.95,0.00696096050322168,0
77,31,-9,3733,0.95,0.00838389376737856,0
